iter	Passed	Remaining
869	136233	20356
870	136419	20204
871	136576	20047
872	136771	19896
873	136922	19739
874	137111	19587
875	137270	19431
876	137414	19272
877	137580	19117
878	137761	18963
879	137923	18807
880	138079	18650
881	138246	18495
882	138422	18341
883	138575	18184
884	138728	18026
885	138865	17867
886	139023	17711
887	139202	17557
888	139335	17397
889	139486	17239
890	139683	17088
891	139843	16931
892	139999	16774
893	140152	16617
894	140292	16458
895	140446	16301
896	140608	16145
897	140774	15990
898	140928	15832
899	141081	15675
900	141202	15515
901	141413	15364
902	141542	15204
903	141703	15048
904	141873	14892
905	142007	14733
906	142179	14578
907	142342	14422
908	142529	14268
909	142691	14112
910	142863	13956
911	143008	13799
912	143160	13641
913	143289	13482
914	143413	13322
915	143539	13163
916	143677	13004
917	143833	12847
918	144009	12692
919	144159	12535
920	144314	12378
921	144469	12221
922	144623	12064
923	144803	11910
924	144931	11751
925	145069	11593
926	145212	11435
927	145368	11278
928	145511	11120
929	145664	10964
930	145789	10805
931	145972	10650
932	146147	10495
933	146303	10338
934	146446	10180
935	146606	10024
936	146779	9868
937	146930	9711
938	147094	9555
939	147247	9398
940	147396	9241
941	147561	9085
942	147717	8928
943	147885	8772
944	148052	8616
945	148214	8460
946	148385	8304
947	148553	8148
948	148695	7990
949	148805	7831
950	148923	7673
951	149054	7515
952	149169	7356
953	149293	7198
954	149421	7040
955	149542	6882
956	149666	6724
957	149813	6568
958	149923	6409
959	150049	6252
960	150185	6094
961	150306	5937
962	150445	5780
963	150602	5624
964	150721	5466
965	150819	5308
966	150898	5149
967	150988	4991
968	151072	4833
969	151171	4675
970	151261	4517
971	151346	4359
972	151448	4202
973	151529	4044
974	151620	3887
975	151691	3730
976	151774	3572
977	151862	3416
978	151959	3259
979	152048	3103
980	152144	2946
981	152253	2790
982	152344	2634
983	152428	2478
984	152504	2322
985	152586	2166
986	152686	2011
987	152778	1855
988	152858	1700
989	152927	1544
990	153005	1389
991	153092	1234
992	153166	1079
993	153217	924
994	153283	770
995	153347	615
996	153392	461
997	153436	307
998	153482	153
999	153523	0
